Ars Viva : Musik des 20.ten Jahrhunderts	
Arte Factum : Magazine of Contemporary Art in Europe	
Art & Fact : revue des historiens de l'art, des archéologues et des musicologues de l'Université de Liège	
Artistes Belges	
Artistes Musiciens Belges	
Asian Art & Culture	
Associazione clavicembalistica bolognese	
Associazione clavicembalistica Bolognese	Associazione clavicembalistica bolognese
Aubier : les grands opéras	
Au coeur de l'improvisation	
Auction Catalogues of Music	
Au-delà des notes	
Augener's Edition	
Augener's edition classical violin music	
Aula-boeken	
Aurea Amadeus	
Aureliae Folklorica	
Aurore	
Aus den Concertprogramma = From the Concertprogrammes	From the Concertprogrammes
Aus der Natur und Geisteswelt	
Aus der Reihe: "Jugend musiziert" - Gruppenspiel	
Ausgabe des " Wiener a cappella Chor " : Gesänge für gemischten Chor	
[Ausgewaehlte lieder von J. Brahms	Ausgewählte Lieder von J. Brahms
Ausgewaehlte lieder von J. Brahms	Ausgewählte Lieder von J. Brahms
Ausgewählte Compositionen von Richard Wagner : für Piano zu 2 Händen	
Ausgewählte Gesänge des Thomanerchores zu Leipzig : Eine Sammlung bewährter Chorwerke	
Ausgewählte Handschriften in Faksimile-Ausgaben	
Ausgewählte Klaviermusik der Klassik und Romantik	
Ausgewählte Klaviermusik der Klassik und Romantik 0206	Ausgewählte Klaviermusik der Klassik und Romantik ; 206
Ausgewählte Klaviermusik der Klassik und Romantik 09716 1/2	Ausgewählte Klaviermusik der Klassik und Romantik ; 9716/1-2
[Ausgewählte] Orgelcompositionen	
Ausgewählte Werke	
Ausstellungskataloge der Herzog August Bibliothek	
Austriaca : cahiers universitaires d' information sur l' Autriche	
Auswahl von Arien mit Guitarre Begleitung	
Authentic Salsa Versions	
Autographus musicus	
Autographus Musicus	Autographus musicus
Aux abonnées du journal des demoiselles	
Avant garde	
Bach-Archiv : Gruppe 1 : Meiniger Linie	
Bach-Dokumente	
Bach-Handbuch	
Bach nach Bach	
Ballades françaises	
Ballets et mascarades	
Bals et concerts de Vienne	
Bals et Concerts de Vienne	Bals et concerts de Vienne
Bärenreiter Classics	
Bärenreiter Hochschulschriften	
Bärenreiter Studienbücher Musik	
Bärenreiter Studienpartituren = Bärenreiter Study Scores	Bärenreiter Study Scores
Bärenreiter-Studienpartituren = Bärenreiter Study Scores	Bärenreiter Study Scores
Bärenreiter Studienpartituren = Study scores = Partitions d' étude	Bärenreiter Study Scores
Bärenreiter Taschenpartituren = Miniature Scores	Bärenreiter Miniature Scores
Bärenreiter Urtext	
Baron Musiques de Chambre	
Baroque Chamber Music Series	
Baroque esprit	
Baroque Musique Series	
Basis-reeks	Basis-reeks : bibliotheek voor wetenschappelijke en actueele vraagstukken
Basis-reeks, bibliotheek voor wetenschappelijke en actueele vraagstukken	Basis-reeks : bibliotheek voor wetenschappelijke en actueele vraagstukken
Bassoon Library = Fagott-Bibliothek	Bassoon Library
Bausteine für Musikerziehung und Musikpflege	
BBC Music Guides	
Bearbeitungen klassischer Werken : für Violoncell un d Pianoforte	
Beautiful Music For 10-string Classical Guitar	
Beautiful Music For 10-string Classical Guitar : Fifth Book	Beautiful Music For 10-string Classical Guitar
Beautiful Music For 10-string Classical Guitar : Fourth Book	Beautiful Music For 10-string Classical Guitar
Beautiful Music For 10-string Classical Guitar : Second Book	Beautiful Music For 10-string Classical Guitar
Beautiful Music For 10-string Classical Guitar : Sixth Book	Beautiful Music For 10-string Classical Guitar
Beautiful Music For 10-string Classical Guitar : Third book	Beautiful Music For 10-string Classical Guitar
Beaux-Arts	
Beck'sche Schwarze Reihe	
Beethoven Briefwechsel Gesamtausgabe	
Beethoven Werke	
Beethoven. Werke	Beethoven Werke
Beiaardkunst	
Beiaardkunst, handelingen van het tweede congres	Beiaardkunst
Beihefte zum Archiv für Musikwissenschaft	
Beiträge zur Aufführungspraxis [= BzA] : Schriftenreihe des Instituts für Aufführungspraxis an der Hochschule für Musik und darstellende Kunst in Graz	Beiträge zur Aufführungspraxis : Schriftenreihe des Instituts für Aufführungspraxis an der Hochschule für Musik und darstellende Kunst in Graz
Beiträge zur Aufführungspraxis [= BzA] : Schriftreihe des Instituts für Aufführungspraxis an der Hochschule für Musik und darstellende Kunst in Graz und der Gesellschaft für musikalischen Aufführungspraxis	Beiträge zur Aufführungspraxis : Schriftenreihe des Instituts für Aufführungspraxis an der Hochschule für Musik und darstellende Kunst in Graz
Beiträge zur Jazzforschung = Studies in Jazz Research	
Beiträge zur mittelrheinischen musikgeschichte	Beiträge zur mittelrheinischen Musikgeschichte
Beiträge zur Mittelrheinischen Musikgeschichte	Beiträge zur mittelrheinischen Musikgeschichte
Belgian School of Violin	
Belgisch tijdschrift voor muziekwetenschap = Revue belge de musicologie	
Belgisch Tijdschrift voor Muziekwetenschap = Revue belge de musicologie	Belgisch tijdschrift voor muziekwetenschap = Revue belge de musicologie
Benvenuto : opéra en 4 actes et 6 tableaux	Benvenuto
Bereich Böhmen-Mähren	
Bergerettes : romances et chansons du XVIIIe siècle	
Berichten en Rapporten over het Antwerps Bodemonderzoek en Monumentenzorg, nr. 5	Berichten en Rapporten over het Antwerps Bodemonderzoek en Monumentenzorg ; 5
Berklee Series	
Berliner Musikwissenschaftliche Arbeiten	
Berliner Philologische Wochenschrift : 11. Juli 1896	Berliner Philologische Wochenschrift
Berliner Philologische Wochenschrift : 12. Juni 1897	Berliner Philologische Wochenschrift
Beroemde musici	
Berühmte Violinkonzerte = Célèbres concertos pour violon = Celebrated Violin Concertos	Celebrated Violin Concertos
Berühmte Vortragsstücke	
Bibilothèque Internationale de Musicologie	
Bibliographia belgica	
Bibliographies in American music	Bibliographies in American Music
Bibliographies in American Music	
Biblioteca del sinfonista	
Biblioteca musicale cremasca	
